"date","time","ID1","behavior"
"11/12/2017","12:07:30","Morami","manipulate-feces"
"12/12/2017","13:25:25","Raimee","manipulate-feces"
"12/12/2017","13:26:58","Fons","manipulate-feces"
"12/12/2017","13:27:47","Raimee","manipulate-feces"
"12/12/2017","13:28:21","Roosje","manipulate-feces"
"12/12/2017","13:28:54","Fons","manipulate-feces"
"12/12/2017","13:30:57","Fons","manipulate-feces"
"12/12/2017","13:40:24","Roosje","manipulate-feces"
"12/12/2017","13:40:30","Gaby","manipulate-feces"
"12/12/2017","13:42:47","Raimee","manipulate-feces"
"12/12/2017","13:42:56","Roosje","manipulate-feces"
"12/12/2017","14:22:42","Giambo","manipulate-feces"
"14/12/2017","11:34:23","Jing","manipulate-feces"
"14/12/2017","12:09:27","Fons","manipulate-feces"
"15/12/2017","11:05:55","Giambo","manipulate-feces"
"08/01/2018","10:59:16","Giambo","manipulate-feces"
"08/01/2018","11:01:01","Jing","manipulate-feces"
"08/01/2018","11:19:15","Giambo","manipulate-feces"
"09/01/2018","14:32:33","Fons","manipulate-feces"
"27/11/2017","15:26:53","Tesua","coprophagy"
"09/01/2018","14:38:38","Moniek","manipulate-feces"
"09/01/2018","14:39:16","Fons","manipulate-feces"
"09/01/2018","14:44:03","Fons","manipulate-feces"
"09/01/2018","15:32:54","Morami","manipulate-feces"
"09/01/2018","15:39:06","Erika","manipulate-feces"
"11/01/2018","12:15:51","Roosje","manipulate-feces"
"11/01/2018","12:20:12","Roosje","manipulate-feces"
"11/01/2018","12:23:33","Jing","manipulate-feces"
"08/12/2017","13:22:00","Tesua","manipulate-feces"
"12/01/2018","14:29:59","Fons","manipulate-feces"
"12/01/2018","14:33:15","Roosje","manipulate-feces"
"12/01/2018","15:05:20","Roosje","manipulate-feces"
"15/01/2018","14:33:28","Fons","manipulate-feces"
"15/01/2018","15:19:37","Gaby","manipulate-feces"
"15/01/2018","15:31:41","Erika","manipulate-feces"
"15/01/2018","15:38:25","Erika","manipulate-feces"
"15/01/2018","15:53:16","Fons","manipulate-feces"
"15/01/2018","15:53:39","Fons","manipulate-feces"
"16/01/2018","11:03:03","Fons","manipulate-feces"
"18/01/2018","10:18:44","Giambo","manipulate-feces"
"19/01/2018","13:04:14","Raimee","manipulate-feces"
"19/01/2018","13:06:06","Roosje","manipulate-feces"
"19/01/2018","13:12:04","Jing","manipulate-feces"
"19/01/2018","14:12:35","Raimee","manipulate-feces"
"19/01/2018","14:14:52","Jing","manipulate-feces"
"22/01/2018","13:31:11","Giambo","manipulate-feces"
"22/01/2018","14:17:53","Roosje","manipulate-feces"
"22/01/2018","14:19:57","Gaby","manipulate-feces"
"23/01/2018","11:57:33","Giambo","manipulate-feces"
"23/01/2018","12:03:56","Giambo","manipulate-feces"
"23/01/2018","12:19:33","Roosje","manipulate-feces"
"23/01/2018","12:26:48","Roosje","manipulate-feces"
"23/01/2018","12:38:09","Tushi","manipulate-feces"
"25/01/2018","14:41:02","Jing","manipulate-feces"
"25/01/2018","14:52:43","Jing","manipulate-feces"
"25/01/2018","15:17:24","Giambo","manipulate-feces"
"25/01/2018","15:22:23","Roosje","manipulate-feces"
"25/01/2018","15:35:50","Raimee","manipulate-feces"
"25/01/2018","15:41:14","Fons","manipulate-feces"
"01/02/2018","11:22:36","Roosje","manipulate-feces"
"01/02/2018","12:28:15","Fons","manipulate-feces"
"01/02/2018","12:29:36","Moni","manipulate-feces"
"06/02/2018","10:29:49","Fons","manipulate-feces"
"06/02/2018","11:08:05","Roosje","manipulate-feces"
"06/02/2018","11:36:14","Giambo","manipulate-feces"
"06/02/2018","11:36:46","Jing","manipulate-feces"
"11/12/2017","11:12:08","Tesua","manipulate-feces"
"08/02/2018","12:19:45","Roosje","manipulate-feces"
"08/02/2018","13:14:58","Geisha","manipulate-feces"
"08/02/2018","13:22:05","Fons","manipulate-feces"
"08/02/2018","13:22:19","Roosje","manipulate-feces"
"08/02/2018","13:24:36","Gaby","manipulate-feces"
"13/02/2018","13:24:26","Fons","manipulate-feces"
"13/02/2018","13:35:47","Raimee","manipulate-feces"
"13/02/2018","13:35:50","Tushi","manipulate-feces"
"13/02/2018","13:38:21","Raimee","manipulate-feces"
"13/02/2018","13:42:49","Jing","manipulate-feces"
"13/02/2018","13:57:24","Raimee","manipulate-feces"
"13/02/2018","14:26:09","Fons","manipulate-feces"
"20/02/2018","13:09:19","Raimee","manipulate-feces"
"20/02/2018","13:15:37","Raimee","manipulate-feces"
"22/02/2018","13:27:00","Raimee","manipulate-feces"
"22/02/2018","13:29:44","Jing","manipulate-feces"
"22/02/2018","13:39:47","Fons","manipulate-feces"
"23/02/2018","13:51:35","Jing","manipulate-feces"
"23/02/2018","13:52:22","Fons","manipulate-feces"
"23/02/2018","14:44:12","Jimmie","manipulate-feces"
"23/02/2018","14:57:46","Tushi","manipulate-feces"
"26/02/2018","14:53:59","Fons","manipulate-feces"
"26/02/2018","15:09:06","Jing","manipulate-feces"
"26/02/2018","15:35:37","Moni","manipulate-feces"
"26/02/2018","15:35:45","Raimee","manipulate-feces"
"27/02/2018","09:17:38","Raimee","manipulate-feces"
"27/02/2018","09:18:43","Erika","manipulate-feces"
"27/02/2018","09:28:06","Raimee","manipulate-feces"
"27/02/2018","09:41:18","Raimee","manipulate-feces"
"05/03/2018","14:04:34","Giambo","manipulate-feces"
"05/03/2018","14:15:37","Ghineau","manipulate-feces"
"06/03/2018","11:41:52","Jing","manipulate-feces"
"08/03/2018","13:48:12","Gaby","manipulate-feces"
"09/03/2018","10:03:01","Roosje","manipulate-feces"
"09/03/2018","10:29:48","Roosje","manipulate-feces"
"13/03/2018","13:44:39","Jimmie","manipulate-feces"
"13/03/2018","13:49:35","Jing","manipulate-feces"
"13/03/2018","13:54:33","Roosje","manipulate-feces"
"20/03/2018","11:44:37","Erika","manipulate-feces"
"22/03/2018","12:16:48","Raimee","manipulate-feces"
"23/03/2018","14:00:36","Raimee","manipulate-feces"
"23/03/2018","14:01:25","Roosje","manipulate-feces"
"23/03/2018","14:17:35","Moniek","manipulate-feces"
"23/03/2018","14:19:52","Roosje","manipulate-feces"
"23/03/2018","14:27:20","Moniek","manipulate-feces"
"23/03/2018","14:28:10","Moni","manipulate-feces"
"23/03/2018","14:28:48","Roosje","manipulate-feces"
"23/03/2018","14:29:40","Jimmie","manipulate-feces"
"23/03/2018","15:08:28","Roosje","manipulate-feces"
"23/03/2018","15:24:52","Gaby","manipulate-feces"
"26/03/2018","14:37:32","Tushi","manipulate-feces"
"26/03/2018","15:02:42","Erika","manipulate-feces"
"26/03/2018","15:18:40","Raimee","manipulate-feces"
"26/03/2018","15:58:16","Roosje","manipulate-feces"
"27/03/2018","12:45:36","Morami","manipulate-feces"
"29/03/2018","13:12:12","Fons","manipulate-feces"
"09/04/2018","15:38:45","Gaby","manipulate-feces"
"09/04/2018","16:12:51","Gaby","manipulate-feces"
"09/04/2018","16:16:56","Raimee","manipulate-feces"
"09/04/2018","16:18:39","Roosje","manipulate-feces"
"09/04/2018","16:27:42","Jing","manipulate-feces"
"10/04/2018","16:32:32","Gaby","manipulate-feces"
"12/04/2018","14:47:04","Gaby","manipulate-feces"
"12/04/2018","14:48:30","Raimee","manipulate-feces"
"12/04/2018","14:48:55","Jimmie","manipulate-feces"
"12/04/2018","14:58:22","Fons","manipulate-feces"
"13/04/2018","12:56:38","Fons","manipulate-feces"
"16/04/2018","11:25:01","Morami","manipulate-feces"
"20/04/2018","11:40:21","Fons","manipulate-feces"
"20/04/2018","11:43:31","Fons","manipulate-feces"
"23/04/2018","12:12:23","Fons","manipulate-feces"
"23/04/2018","12:13:01","Raimee","manipulate-feces"
"23/04/2018","13:16:50","Raimee","manipulate-feces"
"24/04/2018","13:47:46","Raimee","manipulate-feces"
"24/04/2018","13:51:09","Raimee","manipulate-feces"
"24/04/2018","13:56:52","Raimee","manipulate-feces"
"24/04/2018","14:24:44","Gaby","manipulate-feces"
"26/04/2018","15:52:06","Gaby","manipulate-feces"
"26/04/2018","16:00:39","Moni","manipulate-feces"
"26/04/2018","16:00:53","Fons","manipulate-feces"
"26/04/2018","16:05:48","Geisha","manipulate-feces"
"26/04/2018","16:11:21","Jing","manipulate-feces"
"26/04/2018","16:12:03","Gaby","manipulate-feces"
"26/04/2018","16:14:54","Gaby","manipulate-feces"
"26/04/2018","16:27:28","Jing","manipulate-feces"
"26/04/2018","16:29:00","Roosje","manipulate-feces"
"26/04/2018","16:37:44","Roosje","manipulate-feces"
"26/04/2018","16:44:33","Gaby","manipulate-feces"
"26/04/2018","16:44:37","Roosje","manipulate-feces"
"26/04/2018","16:44:59","Erika","manipulate-feces"
"26/04/2018","16:49:07","Erika","manipulate-feces"
"26/04/2018","16:53:46","Roosje","manipulate-feces"
"30/04/2018","15:54:50","Tushi","manipulate-feces"
"08/05/2018","15:43:11","Raimee","manipulate-feces"
"11/05/2018","13:16:46","Jing","manipulate-feces"
"11/05/2018","13:17:45","Jing","manipulate-feces"
"14/05/2018","14:19:04","Roosje","manipulate-feces"
"14/05/2018","14:42:22","Gaby","manipulate-feces"
"15/05/2018","12:44:08","Raimee","manipulate-feces"
"15/05/2018","13:14:21","Morami","manipulate-feces"
"18/05/2018","16:24:48","Raimee","manipulate-feces"
"22/05/2018","13:24:12","Fons","manipulate-feces"
"22/05/2018","13:32:07","Jing","manipulate-feces"
"28/05/2018","11:22:30","Raimee","manipulate-feces"
"20/11/2017","12:04:22","Moniek","crossedarm_walk"
"20/11/2017","12:05:08","Moniek","crossedarm_walk"
"20/11/2017","12:15:30","Morami","crossedarm_walk"
"20/11/2017","12:18:27","Morami","crossedarm_walk"
"20/11/2017","12:29:54","Morami","crossedarm_walk"
"20/11/2017","12:35:18","Morami","crossedarm_walk"
"20/11/2017","13:19:29","Morami","crossedarm_walk"
"21/11/2017","10:12:36","Morami","crossedarm_walk"
"21/11/2017","10:16:00","Morami","crossedarm_walk"
"21/11/2017","10:16:23","Moniek","crossedarm_walk"
"21/11/2017","10:22:01","Morami","crossedarm_walk"
"21/11/2017","10:23:32","Morami","crossedarm_walk"
"21/11/2017","10:23:36","Moniek","crossedarm_walk"
"21/11/2017","10:27:47","Morami","crossedarm_walk"
"21/11/2017","10:27:59","Moniek","crossedarm_walk"
"23/11/2017","11:22:46","Moni","crossedarm_walk"
"23/11/2017","11:25:10","Moni","crossedarm_walk"
"23/11/2017","11:26:15","Moni","crossedarm_walk"
"23/11/2017","11:26:57","Moni","crossedarm_walk"
"23/11/2017","11:57:06","Morami","crossedarm_walk"
"23/11/2017","11:57:44","Morami","crossedarm_walk"
"24/11/2017","14:02:37","Morami","crossedarm_walk"
"24/11/2017","14:06:00","Morami","crossedarm_walk"
"24/11/2017","14:06:47","Morami","crossedarm_walk"
"24/11/2017","14:15:52","Morami","crossedarm_walk"
"24/11/2017","14:49:13","Morami","crossedarm_walk"
"24/11/2017","14:50:16","Tushi","crossedarm_walk"
"24/11/2017","14:51:47","Gaby","crossedarm_walk"
"27/11/2017","14:59:26","Tushi","crossedarm_walk"
"27/11/2017","15:09:52","Tushi","crossedarm_walk"
"27/11/2017","15:11:34","Tushi","crossedarm_walk"
"27/11/2017","15:25:23","Tushi","crossedarm_walk"
"27/11/2017","15:43:02","Tushi","crossedarm_walk"
"30/11/2017","11:24:46","Raimee","crossedarm_walk"
"01/12/2017","09:56:52","Morami","crossedarm_walk"
"01/12/2017","09:57:48","Morami","crossedarm_walk"
"01/12/2017","10:02:35","Morami","crossedarm_walk"
"04/12/2017","09:31:29","Moni","crossedarm_walk"
"04/12/2017","09:36:22","Morami","crossedarm_walk"
"04/12/2017","09:48:21","Morami","crossedarm_walk"
"04/12/2017","09:48:35","Moniek","crossedarm_walk"
"04/12/2017","10:02:39","Morami","crossedarm_walk"
"04/12/2017","10:03:12","Morami","crossedarm_walk"
"04/12/2017","10:05:57","Morami","crossedarm_walk"
"07/12/2017","09:11:45","Morami","crossedarm_walk"
"07/12/2017","09:12:16","Morami","crossedarm_walk"
"07/12/2017","09:14:21","Tushi","crossedarm_walk"
"07/12/2017","09:14:48","Tushi","crossedarm_walk"
"07/12/2017","09:18:38","Tushi","crossedarm_walk"
"07/12/2017","09:21:02","Moni","crossedarm_walk"
"07/12/2017","09:21:42","Morami","crossedarm_walk"
"07/12/2017","09:21:51","Moniek","crossedarm_walk"
"07/12/2017","09:23:15","Tesua","crossedarm_walk"
"07/12/2017","09:23:24","Moniek","crossedarm_walk"
"07/12/2017","09:24:24","Moni","crossedarm_walk"
"07/12/2017","09:55:03","Morami","crossedarm_walk"
"07/12/2017","09:57:42","Morami","crossedarm_walk"
"08/12/2017","14:28:21","Morami","crossedarm_walk"
"11/12/2017","11:15:32","Tushi","crossedarm_walk"
"11/12/2017","11:38:50","Moni","crossedarm_walk"
"14/12/2017","12:04:44","Moniek","crossedarm_walk"
"15/12/2017","11:15:41","Moni","crossedarm_walk"
"15/12/2017","11:19:33","Morami","crossedarm_walk"
"08/01/2018","11:56:52","Moniek","crossedarm_walk"
"09/01/2018","15:51:40","Tushi","crossedarm_walk"
"11/01/2018","11:46:28","Morami","crossedarm_walk"
"11/01/2018","11:46:34","Roosje","crossedarm_walk"
"11/01/2018","11:48:52","Moniek","crossedarm_walk"
"11/01/2018","11:50:55","Moniek","crossedarm_walk"
"11/01/2018","12:10:07","Moniek","crossedarm_walk"
"11/01/2018","12:12:38","Moniek","crossedarm_walk"
"11/01/2018","13:03:31","Roosje","crossedarm_walk"
"11/01/2018","13:03:52","Moniek","crossedarm_walk"
"15/01/2018","14:38:51","Gaby","crossedarm_walk"
"16/01/2018","12:02:53","Moni","crossedarm_walk"
"16/01/2018","12:29:15","Roosje","crossedarm_walk"
"16/01/2018","12:30:01","Roosje","crossedarm_walk"
"22/01/2018","13:16:04","Moni","crossedarm_walk"
"22/01/2018","13:17:51","Moni","crossedarm_walk"
"22/01/2018","13:18:24","Moni","crossedarm_walk"
"22/01/2018","13:27:30","Moni","crossedarm_walk"
"22/01/2018","13:28:19","Moni","crossedarm_walk"
"22/01/2018","13:30:08","Moni","crossedarm_walk"
"22/01/2018","14:27:11","Morami","crossedarm_walk"
"22/01/2018","14:28:12","Morami","crossedarm_walk"
"25/01/2018","14:32:18","Moniek","crossedarm_walk"
"25/01/2018","14:32:35","Morami","crossedarm_walk"
"25/01/2018","14:33:36","Moniek","crossedarm_walk"
